playerid,namefirst,namelast
aardsda01,David,Aardsma
aaronha01,Hank,Aaron
aaronto01,Tommie,Aaron
aasedo01,Don,Aase
abadan01,Andy,Abad
abadfe01,Fernando,Abad
abadijo01,John,Abadie
abbated01,Ed,Abbaticchio
abbeybe01,Bert,Abbey
abbeych01,Charlie,Abbey
abbotda01,Dan,Abbott
abbotfr01,Fred,Abbott
abbotgl01,Glenn,Abbott
abbotje01,Jeff,Abbott
abbotji01,Jim,Abbott
abbotku01,Kurt,Abbott
abbotky01,Kyle,Abbott
abbotod01,Ody,Abbott
abbotpa01,Paul,Abbott
aberal01,Al,Aber
abercda01,Frank,Abercrombie
abercre01,Reggie,Abercrombie
abernbi01,Bill,Abernathie
abernbr01,Brent,Abernathy
abernte01,Ted,Abernathy
abernte02,Ted,Abernathy
abernwo01,Woody,Abernathy
aberscl01,Cliff,Aberson
ablesha01,Harry,Ables
abnersh01,Shawn,Abner
abramca01,Cal,Abrams
abramge01,George,Abrams
abregjo01,Johnny,Abrego
abreubo01,Bobby,Abreu
abreujo01,Joe,Abreu
abreujo02,Jose,Abreu
abreuju01,Juan,Abreu
abreuto01,Tony,Abreu
abreuwi01,Winston,Abreu
abstebi01,Bill,Abstein
accarje01,Jeremy,Accardo
aceveal01,Alfredo,Aceves
acevejo01,Jose,Acevedo
aceveju01,Juan,Acevedo
achteaj01,A. J.,Achter
ackerji01,Jim,Acker
ackerto01,Tom,Acker
ackledu01,Dustin,Ackley
acklefr01,Fritz,Ackley
acostcy01,Cy,Acosta
acosted01,Ed,Acosta
acostjo01,Jose,Acosta
acostma01,Manny,Acosta
acostme01,Merito,Acosta
acrema01,Mark,Acre
actama99,Manny,Acta
adairbi99,Bill,Adair
adairje01,Jerry,Adair
adairji01,Jimmy,Adair
adamecr01,Cristhian,Adames
adamsac01,Ace,Adams
adamsau01,Austin,Adams
adamsba01,Babe,Adams
adamsbe01,Bert,Adams
adamsbo01,Bob,Adams
adamsbo02,Bob,Adams
adamsbo03,Bobby,Adams
adamsbo04,Bob,Adams
adamsbu01,Buster,Adams
adamsda01,Dan,Adams
adamsda02,David,Adams
adamsdi01,Dick,Adams
adamsdo01,Doug,Adams
adamsge01,George,Adams
adamsgl01,Glenn,Adams
adamshe01,Herb,Adams
adamsji01,Jim,Adams
adamsjo01,Joe,Adams
adamsjo02,Joel,Adamson
adamska01,Karl,Adams
adamsla01,Lane,Adams
adamsma01,Matt,Adams
adamsmi01,Mike,Adamson
adamsmi02,Mike,Adams
adamsmi03,Mike,Adams
adamsre01,Red,Adams
adamsri01,Rick,Adams
adamsri02,Ricky,Adams
adamsru01,Russ,Adams
adamsry01,Ryan,Adams
adamssp01,Sparky,Adams
adamssp02,Spencer,Adams
adamste01,Terry,Adams
adamswi01,Willie,Adams
adamswi02,Willie,Adams
adcocjo01,Joe,Adcock
adcocna01,Nathan,Adcock
addisbo01,Bob,Addis
adducji01,Jim,Adduci
adducji02,Jim,Adduci
addybo01,Bob,Addy
adenhni01,Nick,Adenhart
aderhmo01,Morrie,Aderholt
adkinde01,Dewey,Adkins
adkindi01,Dick,Adkins
adkindo01,Doc,Adkins
adkingr01,Grady,Adkins
adkinhe01,Harry,Atkinson
adkinjo01,Jon,Adkins
adkinst01,Steve,Adkins
adlesda01,Dave,Adlesh
adriaeh01,Ehire,Adrianza
afenitr01,Troy,Afenir
affelje01,Jeremy,Affeldt
agbaybe01,Benny,Agbayani
